table	subject	metric	value
headhead	stress/stress-prefixalt	cand_bytes	6351654
headhead	stress/stress-prefixalt	cand_byte_frac	0.270625
headhead	stress/stress-prefixalt	hits	305
headhead	stress/stress-prefixalt	precision	0.987055
headhead	stress/stress-prefixalt	query_us	37
headhead	stress/stress-prefixalt	csearch_own_docs	-1
headhead	stress/stress-prefixalt	kind	regex
headhead	stress/stress-prefixalt	arm	csearch
headhead	stress/stress-prefixalt	clauses	5
headhead	stress/stress-prefixalt	atoms	5
headhead	stress/stress-prefixalt	filtered	1
headhead	stress/stress-prefixalt	cand_docs	322
headhead	stress/stress-prefixalt	cand_bytes	6633507
headhead	stress/stress-prefixalt	cand_byte_frac	0.282634
headhead	stress/stress-prefixalt	hits	305
headhead	stress/stress-prefixalt	precision	0.947205
headhead	stress/stress-prefixalt	query_us	14
headhead	stress/stress-prefixalt	csearch_own_docs	321
headhead	stress/stress-undefwall	kind	regex
headhead	stress/stress-undefwall	arm	gist-base
headhead	stress/stress-undefwall	clauses	1
headhead	stress/stress-undefwall	atoms	1
headhead	stress/stress-undefwall	filtered	1
headhead	stress/stress-undefwall	cand_docs	424
headhead	stress/stress-undefwall	cand_bytes	10740017
headhead	stress/stress-undefwall	cand_byte_frac	0.457600
headhead	stress/stress-undefwall	hits	212
headhead	stress/stress-undefwall	precision	0.500000
headhead	stress/stress-undefwall	query_us	25
headhead	stress/stress-undefwall	csearch_own_docs	-1
headhead	stress/stress-undefwall	kind	regex
headhead	stress/stress-undefwall	arm	gist
headhead	stress/stress-undefwall	clauses	1
headhead	stress/stress-undefwall	atoms	1
headhead	stress/stress-undefwall	filtered	1
headhead	stress/stress-undefwall	cand_docs	424
headhead	stress/stress-undefwall	cand_bytes	10740017
headhead	stress/stress-undefwall	cand_byte_frac	0.457600
headhead	stress/stress-undefwall	hits	212
headhead	stress/stress-undefwall	precision	0.500000
headhead	stress/stress-undefwall	query_us	14
headhead	stress/stress-undefwall	csearch_own_docs	-1
headhead	stress/stress-undefwall	kind	regex
headhead	stress/stress-undefwall	arm	csearch
headhead	stress/stress-undefwall	clauses	7
headhead	stress/stress-undefwall	atoms	7
headhead	stress/stress-undefwall	filtered	1
headhead	stress/stress-undefwall	cand_docs	424
headhead	stress/stress-undefwall	cand_bytes	10740017
headhead	stress/stress-undefwall	cand_byte_frac	0.457600
headhead	stress/stress-undefwall	hits	212
headhead	stress/stress-undefwall	precision	0.500000
headhead	stress/stress-undefwall	query_us	22
headhead	stress/stress-undefwall	csearch_own_docs	421
cost	gist	index_bytes	5024163
cost	gist	build_ms	83.3
cost	gist	peak_rss_bytes	10452992
cost	csearch	index_bytes	5019801
cost	csearch	build_ms	714.4
cost	csearch	peak_rss_bytes	1458176
